#StationName,X,Y,Z,Latitude,Longitude,Height,ReceiverName,ReceiverSatelliteSystem,ReceiverSerialNumber,ReceiverFirmwareVersion,ReceiverElevationCutoff,ReceiverDateInstalled,AntennaName,AntennaRadome,AntennaSerialNumber,AntennaARP,AntennaMarkerUp,AntennaMarkerNorth,AntennaMarkerEast,AntennaDateInstalled,ClockType,ClockInputFrequency,ClockEffectiveDates
ABMF00GLP,2919786.0,-5383745.0,1774604.0,16.262,-61.528,-25.268,SEPT POLARX5,GPS+GLO+GAL+BDS+SBAS,3013312,5.3.2,0,2020-02-07T10:00Z,TRM57971.00,NONE,1441112501,BAM,0.00,0.00,0.00,2012-01-24T12:00Z,INTERNAL,,2008-07-15/CCYY-MM-DD
ABPO00MDG,4097216.6805,4429119.0287,-2065771.3676,-19.018,47.229,1553.398,SEPT POLARX5,GPS+GLO+GAL+BDS+QZSS,3013358,5.4.0,0,2021-01-29T21:25Z,ASH701945G_M,SCIT,CR6200342009,BPA,0.0083,0.0000,0.0000,2018-05-15T07:30Z,INTERNAL,,2007-11-16/CCYY-MM-DD
AC2300USA,-2752834.7418,-1533597.398,5526823.2554,60.475,-150.878,80.744,SEPT POLARX5,GPS+GLO+GAL+BDS+QZSS,3051527,5.5.0,0,2023-01-17T19:26Z,TRM59800.99,SCIT,0220346564,BPA,0.0083,0,0,2021-04-28T00:30Z,INTERNAL,,2007-06-15/CCYY-MM-DD
AC2400USA,-3051338.7572,-1317097.8223,5425614.2192,58.682,-156.653,36.841,SEPT POLARX5,GPS+GLO+GAL+BDS+QZSS,3069883,5.5.0,0,2023-01-17T19:38Z,TRM159800.00,SCIT,5823337038,BPA,0.0083,0,0,2021-08-19T20:03Z,INTERNAL,,2006-06-30/CCYY-MM-DD
ACRG00GHA,6347491.377,-22944.8986,622822.4766, 5.641,-0.207,83.792,JAVAD TRE_3S,GPS+GLO+GAL+BDS+IRNSS+SBAS,4745143,4.2.00-211012,0,2022-09-30T12:00Z,SEPCHOKE_B3E6,NONE,5635,BPA,0.1300,0.0000,0.0000,2022-09-30T12:00Z,INTERNAL,,2022-09-30/CCYY-MM-DD
ACSO00USA,595828.9368,-4839735.3204,4097876.7222,40.232,-82.982,249.810,SEPT POLARX5,GPS+GLO+GAL+BDS,3069746,5.5.0,0,2022-11-16T17:44Z,TRM59800.80,SCIT,0220375556,BPA,0.0083,0,0,2014-09-13T04:56Z,INTERNAL,,2006-08-19/CCYY-MM-DD
ADIS00ETH,4913652.76087,3945922.66962,995383.33311, 9.035,38.766,2439.550,LEICA GR50,GPS+GLO+GAL+BDS+SBAS,1871020,4.52/7.711,0,2022-04-13T13:30Z,LEIAR20,LEIM,22078003,BAM,0.0762,0.0000,0.0000,2022-04-13T13:00Z,N/A,N/A,N/A
AGGO00ARG,2765120.9,-4449250.25,-3626405.6,-34.874,-58.140,42.489,SEPT POLARX5TR,GPS+GLO+GAL+BDS+SBAS,3228290,5.4.0,0,2021-03-29T15:00Z,LEIAR25.R4,LEIT,726722,BPA,000.4100,000.0000,000.0000,2022-10-11T13:30Z,EXTERNAL CESIUM 1,10 ,2016-12-21/CCYY-MM-DD
AIRA00JPN,-3530185.489,4118797.337,3344036.931,31.824,130.600,315.056,TRIMBLE ALLOY,GPS+GLO+GAL+QZSS,6042R40081,6.15,5,2022-09-14T11:00Z,TRM59800.00,SCIS,4938353451,BPA,0.0,0.0,0.0,2012-08-01T01:00Z,INTERNAL ,,2004-11-19
AJAC00FRA,4696990.0,723994.0,4239678.0,41.927, 8.763,99.200,LEICA GR50,GPS+GLO+GAL+BDS+QZSS+SBAS,2090088,4.51,0,2021-12-15T15:00Z,TRM115000.00,NONE,6122223841,BAM,0.0000,0.0000,0.0000,2020-01-21T10:00Z,INTERNAL,,2000-01-22/CCYY-MM-DD
ALBH00CAN,-2341332.884,-3539049.509,4745791.36,48.390,-123.487,32.176,SEPT POLARX5,GPS+GLO+GAL,3013341,5.2.0,5,2019-01-16T22:16Z,TRM59800.00,SCIS,5112354071,BPA,0.100,0.000,0.000,2015-09-15T19:00Z,EXTERNAL H-MASER,10 ,2019-01-16/CCYY-MM-DD
ALGO00CAN,918129.4,-4346071.2,4561977.8,45.956,-78.071,201.258,SEPT POLARX5,GPS+GLO+GAL,3015995,5.3.2,5,2020-08-18T22:27Z,AOAD/M_T,NONE,303,BPA,000.1000,000.0000,000.0000,2012-12-20T17:00Z,INTERNAL,10 ,2022-09-20
ALIC00AUS,-4052052.7352,4212835.9833,-2545104.5853,-23.670,133.886,603.650,SEPT POLARX5,GPS+QZSS+GLO+GAL+BDS,3061704,5.5.0,0,2022-11-01T00:01Z,LEIAR25.R3,NONE,09370001,BPA,000.0015,000.0000,000.0000,2011-07-20T00:00Z,INTERNAL,,1994-05-15/(CCYY-MM-DD)
ALRT00CAN,388042.75,-740382.4,6302001.85,82.494,-62.340,78.562,ASHTECH UZ-12,GPS,UC2200511006,CQ00,0,2011-05-20T15:51Z,ASH701945D_M,NONE,CR520020903,BPA,0.1000,0.0000,0.0000,2002-07-16,INTERNAL,,2002-07-16/CCYY-MM-DD
AMC400USA,-1248596.405,-4819428.21,3976505.93,38.803,-104.525,1911.816,SEPT POLARX5TR,GPS+GLO+GAL+BDS,3013929,5.5.0,0,2023-03-16T19:24Z,TPSCR.G5C,NONE,1364-10065,BPA,0.0000,0.0000,0.0000,2018-06-20,EXTERNAL H-MASER,5 ,1998-03-24/CCYY-MM-DD
ANK200TUR,4124040.177,2655251.841,4065428.467,39.843,32.775,1294.749,TRIMBLE NETR9,GPS+GLO+GAL+BDS,5751R52038,Nav 5.45 / Boot 5.45,0,2022-02-18T06:00Z,TRM115000.00,NONE,1551101061,BAM,0.0420,0.0000,0.0000,2019-06-28T09:56Z,INTERNAL,,2019-06-28/CCYY-MM-DD
ANMG00MYS,-1270826.87,6242631.446,307792.439, 2.785,101.507,15.402,TRIMBLE NETR9,GPS+GLO+GAL+BDS+QZSS,5423R48722,5.37,0,2019-04-18T01:57Z,JAVRINGANT_DM,SCIS,00449,BPA,0.0000,0.0000,0.0000,2014-02-21T00:00Z,INTERNAL,,2014-02-21/CCYY-MM-DD
ANTC00CHL,1608539.0,-4816370.0,-3847799.0,-37.339,-71.532,746.168,TRIMBLE NETR9,GPS+GLO,5234K51716,4.85,5,2015-04-10T14:55Z,ASH700936D_M,SNOW,12462,BPA,0.0000,0.0000,0.0000,2002-01-01T00:01Z,INTERNAL ,,
ANTF00CHL,1958240.723,-5505483.304,-2548076.547,-23.702,-70.420,68.819,STONEX SC2200,GPS+GLO+GAL+BDS+SBAS,SC22A0081001G,2.12-210914-STX,0,2022-07-22T00:00Z,STXSA1500,STXG,C21090017640,BAM,0.136,0.000,0.000,2022-07-22T00:00Z,INTERNAL,,2022-07-22/CCYY-MM-DD
AREG00PER,1942816.3653,-5804077.1395,-1796884.4383,-16.465,-71.493,2489.742,SEPT POLARX5,GPS+GLO+GAL+BDS+SBAS,3022499,5.5.0,0,2022-11-30T14:26Z,TRM59800.00,NONE,5129354209,BPA,0.4291,0.0000,-0.0006,2013-01-11T00:00Z,EXTERNAL RUBIDIUM,10 ,2014-10-17/CCYY-MM-DD
AREQ00PER,1942826.192,-5804070.331,-1796894.267,-16.466,-71.493,2489.327,SEPT POLARX5,GPS+GLO+GAL+BDS,3025537,5.5.0,0,2023-02-28T00:52Z,JAVRINGANT_DM,NONE,01548,BPA,0.061,0.000,0.000,2018-05-01T01:30Z,EXTERNAL QUARTZ,5 ,2009-07-10/CCYY-MM-DD
ARHT00ATA,-1312626.536,311171.129,-6213081.915,-77.829,166.664,135.782,JAVAD TRE_3 DELTA,GPS+GLO+GAL+BDS+QZSS+IRNSS,02333,4.1.01,0,2021-07-20T21:45Z,JAVRINGANT_DM,SCIS,00836,BPA,0.0083,0,0,2017-12-05T00:00Z,INTERNAL,,2017-12-05/CCYY-MM-DD
ARTU00RUS,1843956.968,3016202.97,5291261.66,56.430,58.560,247.950,JAVAD TRE_G3TH DELTA,GPS+GLO,02668,3.6.9 Nov 28 2016,,2018-09-06T09:30Z,ASH700936D_M,DOME,CR13077,BPA,0.0796,,,1999-08-06,INTERNAL,,1999-08-06/CCYY-MM-DD
ARUC00ARM,3500416.7822,3390432.6839,4103027.5848,40.286,44.086,1222.580,SEPT POLARX5,GPS+GLO+GAL+BDS+QZSS,3013438,5.5.0,0,2023-02-28T01:42Z,ASH701945C_M,SCIS,CR520003504,BPA,0.0792,0.0000,0.0000,2013-11-08T07:24Z,INTERNAL,,2013-04-03/CCYY-MM-DD
ASCG00SHN,6121151.578,-1563978.904,-872615.417,-7.916,-14.333,38.385,TRIMBLE ALLOY,GPS+GLO+GAL+BDS+SBAS,5945R40128,6.16,0,2023-03-14T11:36Z,TRM59800.00,NONE,5311354626,BPA,0.4080,-0.0007,0.0001,2021-08-19T16:15Z,INTERNAL,,2015-07-24/CCYY-MM-DD
ASPA00USA,-6100260.096,-996503.51,-1567977.812,-14.326,-170.722,54.070,SEPT POLARX5,GPS+GLO+GAL,3074098,5.5.0,0,2023-01-17T18:09Z,TRM55971.00,NONE,30517456,BAM,0.0000,0.0000,0.0000,2008-10-01,INTERNAL,,2001-08-12/CCYY-MM-DD
AUCK00NZL,-5105681.0,461564.0,-3782181.7,-36.603,174.834,133.092,TRIMBLE ALLOY,GPS+GLO+GAL+BDS+QZSS,5921R40146,5.45,0,2020-09-22T09:53Z,TRM115000.00,NONE,1551016656,BAM,0.0550,0.0,0.0,2019-10-23T23:34Z,INTERNAL,,1995-09-18/CCYY-MM-DD
BADG00RUS,-838281.513,3865777.334,4987624.632,51.770,102.235,811.838,JAVAD TRE_3 DELTA,GPS+GLO+GAL,02682,3.7.10 Oct 22 2020,3,2020-11-17T13:00Z,JAVRINGANT_DM,JVDM,00328,BPA,000.0280,000.0000,000.0000,2010-03-15T00:00Z,EXTERNAL H-MASER CH1-80,5 ,2010-03-15/CCYY-MM-DD
BAIE00CAN,1546823.34,-3879765.13,4804185.05,49.187,-68.263,27.911,TPS NET-G5,GPS+GLO,1294-11329,5.2.7 Sep 09 2020,5,2022-01-12T15:04Z,TPSCR.G3,NONE,383-0458,BPA,000.1000,000.0000,000.0000,2016-07-11T19:30Z,INTERNAL,5,2001-11-04
BAKE00CAN,-289833.93,-2756501.06,5725162.22,64.318,-96.002, 4.854,TPS NET-G3A,GPS+GLO,618-02373,4.7 Nov 23 2017 p6,5,2019-02-19T22:53Z,TPSCR.G3,NONE,383-0416,BPA,000.1000,000.0000,000.0000,2018-07-26T03:36Z,INTERNAL,,2001-11-30
BAKO00IDN,-1836969.054,6065617.126,-716257.839,-6.491,106.849,158.562,LEICA GR50,GPS+GLO+GAL+BDS+QZSS+SBAS,1871265,4.31/7.403,10,2023-02-27T04:45Z,LEIAR20,LEIM,21015023,BAM,1.648,0.0,0.0,2018-07-31T00:00Z,EXTERNAL,,
BAMF00CAN,-2420721.2,-3439856.061,4778532.675,48.835,-125.135,11.071,SEPT POLARX5,GPS+GLO+GAL+BDS,3015944,5.3.2,0,2021-03-29T00:00Z,SEPCHOKE_B3E6,SPKE,5120,BPA,0.000,0.000,0.000,2018-03-20T22:18Z,INTERNAL CLOCK STEERING,,2005-08-30/CCYY-MM-DD
