# PGM       : FAST
# Author    : Chuntao Chang
# Inf       : satNum Count Statistics
# Time      : 2025-06-01 20:22:52
#             END OF HEADER

+SYS
 gSys  AVE  MIN  MAX
--------------------
    G 11.3    8   14
    E 10.5    6   14
    R  8.0    6   11
    C 22.9   18   28
    J  0.7    0    2
  ALL 53.4   46   62
--------------------
-SYS

+SAT
               epoch    G   E   R   C   J ALL
 2025-01-01 00:00:00   10  12   8  25   2  57
 2025-01-01 00:00:30   10  12   8  25   2  57
 2025-01-01 00:01:00   10  12   8  25   2  57
 2025-01-01 00:01:30   10  12   8  25   2  57
 2025-01-01 00:02:00   10  12   8  25   2  57
 2025-01-01 00:02:30   10  12   8  25   2  57
 2025-01-01 00:03:00   10  12   8  25   2  57
 2025-01-01 00:03:30   10  12   8  25   2  57
 2025-01-01 00:04:00   11  12   8  25   2  58
 2025-01-01 00:04:30   11  12   8  25   2  58
 2025-01-01 00:05:00   11  12   8  25   2  58
 2025-01-01 00:05:30   11  12   8  25   2  58
 2025-01-01 00:06:00   11  12   8  25   2  58
 2025-01-01 00:06:30   11  12   8  25   2  58
 2025-01-01 00:07:00   11  12   8  25   2  58
 2025-01-01 00:07:30   12  12   8  25   2  59
 2025-01-01 00:08:00   12  12   8  25   2  59
 2025-01-01 00:08:30   12  13   8  25   2  60
 2025-01-01 00:09:00   12  13   8  25   2  60
 2025-01-01 00:09:30   12  13   8  25   2  60
 2025-01-01 00:10:00   12  13   8  25   2  60
 2025-01-01 00:10:30   12  13   8  25   2  60
 2025-01-01 00:11:00   12  13   8  25   2  60
 2025-01-01 00:11:30   12  13   8  25   2  60
 2025-01-01 00:12:00   12  13   8  25   2  60
 2025-01-01 00:12:30   12  13   7  25   2  59
 2025-01-01 00:13:00   12  13   7  25   2  59
 2025-01-01 00:13:30   12  13   7  25   2  59
 2025-01-01 00:14:00   12  13   6  25   2  58
 2025-01-01 00:14:30   12  13   6  25   2  58
 2025-01-01 00:15:00   12  13   6  25   2  58
 2025-01-01 00:15:30   12  13   6  25   2  58
 2025-01-01 00:16:00   12  13   6  24   2  57
 2025-01-01 00:16:30   12  13   6  23   2  56
 2025-01-01 00:17:00   12  13   6  23   2  56
 2025-01-01 00:17:30   12  13   6  22   2  55
 2025-01-01 00:18:00   12  13   6  22   2  55
 2025-01-01 00:18:30   12  13   6  22   2  55
 2025-01-01 00:19:00   12  13   6  22   2  55
 2025-01-01 00:19:30   12  13   6  22   2  55
 2025-01-01 00:20:00   12  13   6  22   2  55
 2025-01-01 00:20:30   12  13   7  22   2  56
 2025-01-01 00:21:00   12  13   7  22   2  56
 2025-01-01 00:21:30   12  13   7  22   2  56
 2025-01-01 00:22:00   12  13   7  22   2  56
 2025-01-01 00:22:30   12  13   7  22   2  56
 2025-01-01 00:23:00   12  13   7  21   1  54
 2025-01-01 00:23:30   12  13   7  20   1  53
 2025-01-01 00:24:00   12  13   7  20   1  53
 2025-01-01 00:24:30   12  13   7  20   1  53
 2025-01-01 00:25:00   12  13   7  20   1  53
 2025-01-01 00:25:30   12  14   7  20   1  54
 2025-01-01 00:26:00   12  14   7  20   1  54
 2025-01-01 00:26:30   12  14   7  20   1  54
 2025-01-01 00:27:00   12  14   7  20   1  54
 2025-01-01 00:27:30   12  14   7  20   1  54
 2025-01-01 00:28:00   12  14   7  20   1  54
 2025-01-01 00:28:30   12  14   7  20   1  54
 2025-01-01 00:29:00   12  14   7  20   1  54
 2025-01-01 00:29:30   12  14   7  20   1  54
 2025-01-01 00:30:00   12  14   7  20   1  54
 2025-01-01 00:30:30   12  14   7  20   1  54
 2025-01-01 00:31:00   12  14   7  20   1  54
 2025-01-01 00:31:30   12  14   7  20   1  54
 2025-01-01 00:32:00   12  13   7  20   1  53
