# PGM       : FAST
# Author    : Chuntao Chang
# Inf       : Carrier-to-Noise Ratio [dBHz]
# Time      : 2025-05-05 15:49:29
#             END OF HEADER

+SYS
    gSys   AVE   MIN   MAX
--------------------------
       C  38.9  18.0  53.4
       E  39.2  18.0  55.1
       G  37.8   1.8  57.7
       J  32.9  19.6  38.8
       R  40.7  17.8  52.7
--------------------------
+SYS

+SAT
 prnFreq   AVE   MIN   MAX
--------------------------
 C02_S2I  41.7  40.2  42.9
 C02_S7I  46.2  44.6  47.4
 C02_S6I  34.4  33.3  35.5
 C03_S7I  31.4  29.5  33.3
 C03_S2I  30.9  29.6  32.1
 C05_S2I  46.4  45.2  47.2
 C05_S7I  48.3  46.7  49.1
 C05_S6I  38.2  37.4  39.0
 C06_S2I  35.5  24.3  43.9
 C06_S7I  38.5  24.9  45.0
 C06_S6I  28.5  20.5  34.4
 C07_S2I  35.6  18.5  43.7
 C07_S7I  39.0  20.3  45.5
 C07_S6I  29.6  20.3  35.3
 C08_S7I  39.5  27.5  46.9
 C08_S2I  35.7  21.4  44.3
 C08_S6I  29.1  20.9  36.3
 C09_S2I  38.5  22.3  46.5
 C09_S7I  41.8  20.8  47.9
 C09_S6I  31.2  21.0  36.2
 C10_S2I  38.1  23.2  45.1
 C10_S7I  40.5  24.5  47.1
 C10_S6I  31.4  19.9  36.4
 C13_S2I  40.1  24.8  47.6
 C13_S7I  40.0  21.5  47.2
 C13_S6I  30.9  19.4  37.8
 C16_S2I  36.5  26.2  45.8
 C16_S7I  37.0  27.9  44.6
 C16_S6I  25.7  19.3  32.7
 C20_S1P  38.9  18.3  49.8
 C20_S5P  33.3  18.5  41.0
 C20_S2I  40.7  19.2  51.1
 C20_S6I  33.1  18.1  41.1
 C20_S7D  42.9  31.5  49.9
 C23_S1P  42.4  22.5  50.1
 C23_S5P  36.3  18.5  42.9
 C23_S2I  43.8  24.8  51.2
 C23_S6I  36.1  18.3  43.1
 C23_S7D  45.0  29.1  51.0
 C27_S1P  41.4  26.0  50.8
 C27_S5P  33.8  20.5  42.7
 C27_S2I  43.7  26.4  52.7
 C27_S6I  34.1  20.8  43.4
 C27_S7D  42.6  30.2  51.5
 C28_S1P  41.9  26.4  50.4
 C28_S5P  34.2  20.1  42.2
 C28_S2I  44.2  28.9  52.8
 C28_S6I  34.8  19.0  43.1
 C28_S7D  43.3  30.9  51.4
 C30_S1P  42.3  19.6  50.7
 C30_S5P  35.7  18.9  42.2
 C30_S2I  44.5  20.0  52.6
 C30_S6I  36.2  19.0  43.1
 C30_S7D  44.8  29.8  51.6
 C32_S1P  37.3  23.7  45.9
 C32_S5P  31.4  20.6  38.1
 C32_S2I  38.5  24.1  46.8
 C32_S6I  31.0  19.8  38.3
 C32_S7D  39.7  29.6  46.5
 C37_S1P  42.5  26.3  50.0
 C37_S5P  36.3  18.7  42.3
 C37_S2I  43.5  25.4  51.2
 C37_S6I  36.1  24.0  42.5
 C37_S7D  44.2  30.3  50.7
 C38_S1P  34.7  19.7  44.5
 C38_S2I  36.3  20.5  46.2
 C38_S7D  37.5  30.1  45.1
 C38_S6I  28.0  18.6  36.5
 C38_S5P  28.5  20.0  36.6
 C39_S1P  34.3  20.7  43.9
 C39_S5P  29.5  20.3  35.1
 C39_S2I  35.5  19.0  44.8
 C39_S6I  29.2  19.6  35.4
 C39_S7D  36.6  30.2  44.0
 C40_S1P  34.7  21.2  44.0
 C40_S2I  35.7  19.5  45.5
 C40_S7D  36.6  29.9  44.3
 C40_S6I  31.5  23.8  36.1
 C40_S5P  31.7  25.1  35.8
 C47_S1P  43.1  26.9  48.9
 C47_S2I  44.9  23.7  51.0
 C47_S6I  36.7  21.3  42.4
 C47_S7D  44.8  30.6  50.8
 C47_S5P  36.4  22.3  41.8
 C48_S1P  40.3  18.6  49.4
 C48_S5P  34.8  18.8  42.0
 C48_S2I  41.5  18.6  51.1
 C48_S6I  35.6  18.6  43.0
 C48_S7D  44.1  30.3  50.9
 C49_S1P  45.1  24.0  50.4
 C49_S5P  37.6  21.5  42.8
 C49_S2I  46.8  26.9  52.2
 C49_S6I  38.1  20.5  44.1
 C49_S7D  46.6  32.0  51.9
 C56_S2I  41.6  23.9  47.9
 C56_S6I  31.8  20.0  37.2
 C60_S2I  47.5  46.0  48.7
 C60_S6I  38.7  37.0  39.8
 C60_S7D  48.5  47.5  49.3
 C36_S2I  40.7  21.3  52.5
 C36_S1P  39.0  20.6  50.8
 C36_S7D  42.9  29.7  52.5
 C36_S5P  35.5  20.2  44.0
 C36_S6I  35.5  20.0  43.8
 C29_S2I  45.4  31.2  50.2
 C29_S1P  43.2  30.7  48.2
 C29_S7D  44.6  31.7  48.7
 C29_S5P  35.8  24.5  39.6
 C29_S6I  36.4  23.7  40.4
 C58_S2I  40.0  36.9  44.6
 C58_S6I  31.1  28.6  35.9
 C45_S1P  39.5  19.1  47.9
 C45_S2I  40.7  18.2  49.0
 C45_S7D  41.8  29.2  49.1
 C45_S5P  34.0  19.3  41.3
 C45_S6I  33.4  18.8  40.8
 C19_S2I  44.2  22.2  52.5
 C19_S7D  45.0  30.0  52.2
 C19_S6I  38.1  26.1  43.8
 C19_S1P  43.3  23.9  50.8
 C19_S5P  37.8  25.8  43.4
 C35_S2I  44.5  23.1  52.5
 C35_S1P  43.3  28.2  50.6
 C35_S7D  44.3  30.9  50.8
 C35_S6I  37.0  19.9  42.6
 C35_S5P  35.9  21.3  41.2
 C26_S1P  37.7  18.6  50.1
 C26_S2I  38.7  18.5  51.5
 C26_S7D  42.9  29.9  50.4
 C26_S6I  32.1  19.6  42.0
 C26_S5P  31.8  18.7  40.8
 C22_S2I  44.1  21.1  53.1
 C22_S1P  42.3  20.8  51.8
 C22_S7D  45.1  31.1  52.8
 C22_S6I  35.6  19.2  43.4
 C22_S5P  35.6  18.0  43.4
 C44_S2I  41.6  21.5  52.6
 C44_S1P  39.8  21.5  51.0
 C44_S7D  42.9  29.7  52.2
 C44_S5P  36.4  19.3  42.9
 C44_S6I  36.5  21.2  43.1
 C21_S2I  45.2  28.4  49.9
 C21_S1P  43.6  30.2  48.4
 C21_S7D  44.7  31.6  49.6
 C21_S6I  36.5  22.6  41.1
 C21_S5P  36.3  23.0  40.9
 C50_S2I  44.9  28.0  50.5
 C50_S7D  45.2  31.9  50.5
 C50_S1P  43.2  30.2  48.6
 C50_S6I  36.8  23.5  41.7
 C50_S5P  36.3  23.0  41.1
 C12_S7I  43.2  24.1  52.4
 C12_S2I  38.2  19.0  48.7
 C12_S6I  33.6  18.3  42.5
 C34_S1P  39.3  19.0  48.2
 C34_S2I  40.9  18.4  49.6
 C34_S7D  41.3  30.5  48.7
 C34_S5P  33.0  19.9  39.8
 C34_S6I  32.9  18.5  39.6
 C42_S2I  44.8  28.9  51.0
 C42_S7D  45.3  31.6  52.1
 C42_S1P  44.0  24.7  50.4
 C42_S5P  37.0  23.9  43.0
 C42_S6I  37.1  23.5  43.5
 C11_S2I  39.7  18.4  48.0
 C11_S7I  42.7  19.6  50.6
 C11_S6I  34.1  21.0  40.6
 C43_S2I  39.8  18.4  50.9
 C43_S1P  38.4  18.4  49.0
 C43_S7D  42.9  31.4  50.3
 C43_S6I  34.1  18.1  42.1
 C43_S5P  34.2  19.7  41.1
 C24_S1P  43.2  18.8  51.9
 C24_S2I  44.4  20.2  53.0
 C24_S7D  45.6  30.2  53.2
 C24_S6I  36.8  20.9  44.1
 C24_S5P  37.6  20.0  44.6
 C14_S2I  44.3  29.9  50.3
 C14_S7I  47.9  28.7  53.4
 C14_S6I  37.9  23.3  43.7
 C25_S1P  44.7  31.7  50.1
 C25_S2I  46.5  32.6  51.3
 C25_S7D  46.0  34.2  50.7
 C25_S6I  37.8  29.1  42.8
 C25_S5P  37.1  28.6  41.6
 C33_S2I  46.1  27.3  52.7
 C33_S1P  45.0  24.7  51.7
 C33_S7D  47.2  33.9  53.1
 C33_S5P  38.6  24.2  44.5
 C33_S6I  38.5  22.8  44.0
 C41_S2I  43.6  19.0  51.9
 C41_S1P  42.5  19.8  50.5
 C41_S7D  45.7  29.8  52.1
 C41_S5P  36.6  19.8  43.3
 C41_S6I  36.9  19.4  43.5
 E04_S1C  33.2  19.2  42.2
 E04_S6C  24.1  18.8  31.0
 E04_S5Q  29.7  19.4  37.0
 E04_S7Q  37.0  18.5  46.2
 E04_S8Q  39.2  28.2  45.8
 E05_S1C  39.6  18.3  49.9
 E05_S5Q  33.7  18.9  42.4
 E05_S7Q  42.1  19.5  52.1
 E05_S8Q  43.0  25.2  51.7
 E05_S6C  30.9  18.2  37.5
 E06_S1C  36.2  20.8  45.3
 E06_S6C  25.6  18.0  33.7
 E06_S5Q  30.1  19.2  39.2
 E06_S7Q  39.0  25.2  48.7
 E06_S8Q  40.7  27.4  48.3
 E09_S1C  39.1  18.9  47.3
 E09_S6C  27.7  18.0  34.4
 E09_S5Q  33.1  18.8  39.2
 E09_S7Q  41.0  20.8  49.0
 E09_S8Q  42.9  23.9  48.6
 E10_S1C  41.7  19.4  50.5
 E10_S5Q  36.2  18.8  43.6
 E10_S7Q  44.5  19.8  52.9
 E10_S8Q  44.8  24.2  52.6
 E10_S6C  31.7  18.6  38.7
 E12_S1C  39.8  22.5  46.2
 E12_S5Q  34.1  19.7  39.8
 E12_S7Q  42.4  21.1  49.7
 E12_S8Q  42.5  24.9  49.1
 E12_S6C  30.6  18.8  35.6
 E14_S1C  43.5  26.5  52.3
 E14_S6C  32.8  18.8  41.2
 E14_S5Q  36.3  19.9  45.3
 E14_S7Q  45.2  24.3  55.1
 E14_S8Q  45.0  24.5  54.7
 E23_S1C  31.3  19.3  39.6
 E23_S6C  22.7  18.8  28.2
 E23_S5Q  27.5  18.9  32.4
 E23_S7Q  35.8  21.8  41.5
 E23_S8Q  36.8  30.5  41.1
 E24_S1C  44.8  27.5  50.1
 E24_S5Q  37.8  21.3  42.8
 E24_S7Q  47.0  29.2  52.3
 E24_S8Q  46.8  29.2  52.0
 E24_S6C  33.5  20.2  38.2
 E26_S1C  32.7  18.8  43.0
 E26_S5Q  30.1  19.6  36.8
 E26_S7Q  35.0  18.8  45.3
 E26_S8Q  38.8  28.6  45.2
 E31_S1C  43.1  24.2  48.2
 E31_S6C  30.6  21.6  34.3
 E31_S5Q  35.7  24.8  39.6
 E31_S7Q  44.9  31.5  48.7
 E31_S8Q  44.8  32.4  48.5
 E33_S1C  40.3  27.8  46.7
 E33_S6C  27.8  18.7  33.5
 E33_S5Q  33.2  21.5  38.4
 E33_S7Q  41.8  24.6  48.1
 E33_S8Q  41.7  24.8  47.6
 E16_S1C  40.1  20.0  50.1
 E16_S7Q  43.4  20.7  52.8
 E16_S8Q  47.2  35.7  52.3
 E16_S5Q  37.5  20.2  43.1
 E16_S6C  33.7  19.0  38.8
 E11_S1C  38.5  18.5  47.2
 E11_S7Q  40.6  19.6  49.1
 E11_S5Q  32.0  18.2  39.5
 E11_S8Q  41.4  26.3  48.7
 E11_S6C  29.3  19.4  35.8
 E25_S1C  39.1  19.5  50.0
 E25_S7Q  42.3  21.1  52.8
 E25_S8Q  44.3  25.0  52.4
 E25_S5Q  34.7  19.4  43.2
 E25_S6C  32.6  19.0  38.8
 E36_S1C  43.3  26.3  47.8
 E36_S7Q  45.5  30.6  50.1
 E36_S8Q  45.8  32.3  49.6
 E36_S5Q  36.7  22.2  40.4
 E36_S6C  31.4  20.6  34.8
 E02_S1C  40.0  18.9  48.0
 E02_S7Q  42.0  19.0  49.8
 E02_S5Q  33.4  18.0  40.3
 E02_S8Q  43.5  26.9  49.4
 E02_S6C  28.5  18.1  34.7
 E18_S1C  43.5  20.4  49.3
 E18_S7Q  46.0  30.3  51.3
 E18_S5Q  36.4  23.0  41.1
 E18_S8Q  47.2  33.0  50.9
 E18_S6C  32.5  19.2  37.1
 E34_S1C  41.4  18.1  50.2
 E34_S7Q  43.4  18.4  52.3
 E34_S8Q  45.2  30.4  51.9
 E34_S5Q  36.2  21.9  42.4
 E34_S6C  32.5  18.5  37.4
 E30_S1C  39.2  19.2  50.2
 E30_S7Q  41.2  20.5  52.7
 E30_S5Q  34.4  19.0  43.2
 E30_S8Q  44.0  23.8  52.4
 E30_S6C  31.5  18.1  38.9
 E03_S1C  41.7  20.3  49.6
 E03_S7Q  44.4  24.7  52.3
 E03_S5Q  35.5  19.8  42.5
