# PGM       : FAST
# Author    : Chuntao Chang
# Inf       : Slip
# Time      : 2025-05-05 15:49:31
#             END OF HEADER

+SAT
  PRN  ObsNum   Slip   O/Slip
  ---------------------------
  C02    2880      0   NoSlip
  C05    2880      1  2880.00
  C06     587      1   587.00
  C07    1187      2   593.50
  C08     770      2   385.00
  C09    1932      5   386.40
  C10    2029      0   NoSlip
  C11    1084      3   361.33
  C12     884      1   884.00
  C13     839      0   NoSlip
  C14     873      1   873.00
  C16     357      0   NoSlip
  C19     739      2   369.50
  C20     717      1   717.00
  C21    1091      1  1091.00
  C22     898      3   299.33
  C23     733     10    73.30
  C24     911      3   303.67
  C25     962      1   962.00
  C26     469      2   234.50
  C27     581      2   290.50
  C28     474      0   NoSlip
  C29    1147      1  1147.00
  C30     817      1   817.00
  C32     698      1   698.00
  C33     814      4   203.50
  C34    1063      7   151.86
  C35     860      1   860.00
  C36     728      5   145.60
  C37     589      1   589.00
  C38     700      2   350.00
  C39     717      1   717.00
  C40     746      0   NoSlip
  C41     650      1   650.00
  C42    1075      6   179.17
  C43     830      3   276.67
  C44     642      2   321.00
  C45    1064      6   177.33
  C47    1064      3   354.67
  C48     805      0   NoSlip
  C49     421      2   210.50
  C50    1167      1  1167.00
  C56    2048      2  1024.00
  C58       5      0   NoSlip
  C60    2880      3   960.00
  E02    1382      4   345.50
  E03    1138      1  1138.00
  E04     428      1   428.00
  E05    1146      3   382.00
  E06     647      3   215.67
  E07    1036      1  1036.00
  E08    1351     32    42.22
  E09    1090      4   272.50
  E10     943      5   188.60
  E11    1022      2   511.00
  E12     665      2   332.50
  E13     849      1   849.00
  E14     405      0   NoSlip
  E15     933      2   466.50
  E16     945      1   945.00
  E18     962      1   962.00
  E19     146      0   NoSlip
  E21     602     14    43.00
  E23     132      0   NoSlip
  E24     918      3   306.00
  E25    1165      3   388.33
  E26     160      0   NoSlip
  E27     832      4   208.00
  E29     587      0   NoSlip
  E30    1060      5   212.00
  E31     642      1   642.00
  E33     342      0   NoSlip
  E34    1057     21    50.33
  E36    1284      1  1284.00
  G01     851      3   283.67
  G02     888      1   888.00
  G03     712      0   NoSlip
  G04    1241      6   206.83
  G05    1031      3   343.67
  G06     983      4   245.75
  G07    1281     10   128.10
  G08    1016      6   169.33
  G09    1023      4   255.75
  G10     991      8   123.88
  G11     852     13    65.54
  G12     734     23    31.91
  G13     883     15    58.87
  G14     921      7   131.57
  G15    1087     19    57.21
  G16    1075      3   358.33
  G17     808      2   404.00
  G18    1250     11   113.64
  G19     784      2   392.00
  G20    1051      3   350.33
  G21     823      3   274.33
  G22    1028      3   342.67
  G23     737      1   737.00
  G24     876     12    73.00
  G25     808     24    33.67
  G26    1069     28    38.18
  G27     930      6   155.00
  G28     997      0   NoSlip
  G29    1124     25    44.96
  G30    1240      8   155.00
  G31     943      1   943.00
  G32     779      3   259.67
  J02     317      2   158.50
  J03     544      1   544.00
  J04     510      1   510.00
  ---------------------------
-SAT
